sku,name,gtin,manufacturer,supplier_id,vendorname,email,country
SRC-001,Oak table 1,8712345678901,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-002,Oak table 2,8712345678902,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-003,Oak table 3,8712345678903,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-004,Oak table 4,8712345678904,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-005,Oak table 5,8712345678905,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-006,Oak table 6,8712345678906,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-007,Oak table 7,8712345678907,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-008,Oak table 8,8712345678908,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-009,Oak table 9,8712345678909,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-010,Oak table 10,8712345678910,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-011,Oak table 11,8712345678911,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-012,Oak table 12,8712345678912,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-013,Oak table 13,8712345678913,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-014,Oak table 14,8712345678914,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-015,Oak table 15,8712345678915,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-016,Oak table 16,8712345678916,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-017,Oak table 17,8712345678917,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-018,Oak table 18,8712345678918,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-019,Oak table 19,8712345678919,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
SRC-020,Oak table 20,8712345678920,SOURCE Demo Furniture,SUP-001,Northwood Components GmbH,supplier@example.test,DE
